Marke,Model,Year,Mileage,City,State,Price
Ford,MustangFastback,2015,15864,San Antonio, TX,22999
Chevrolet,Malibu1LT,2013,56732,Feasterville, PA,12995
FIAT,500LLounge,2014,37251,Miami, FL,11990
Audi,A42.0T,2016,9082,Boise, ID,27873
Kia,Optima4dr,2009,132730,Forest, VA,5999
Toyota,RAV44X2,2015,41943,Apex, NC,19451
Toyota,Prius,2014,36727,Novato, CA,20950
Buick,EnclaveBase,2012,89247,Alachua, FL,13926
Nissan,MuranoAWD,2016,38837,Centennial, CO,22589
Dodge,Grand,2013,113556,Sioux Falls, SD,10995
Audi,A44dr,2008,96592,Pleasanton, CA,7595
BMW,3,2016,32915,Ewing, NJ,22756
Chrysler,200Sedan,2014,68094,Waukegan, IL,11095
Nissan,Pathfinder2WD,2015,21688,Houston, TX,26995
GMC,AcadiaFWD,2013,49367,Atlanta, GA,25948
Ford,F-1504WD,2014,102701,Olathe, KS,21500
Toyota,Prius5dr,2005,119124,Schererville, IN,4977
Acura,TSX4dr,2009,98011,South Jordan, UT,10000
Nissan,MuranoSV,2013,69490,Midlothian, VA,16452
Toyota,CamrySE,2016,28716,San Antonio, TX,17891
Ford,EscapeTitanium,2014,46603,Manheim, PA,18791
Ford,Super,2004,129324,West Bridgewater, MA,9950
Nissan,JUKENISMO,2015,48104,Evanston, IL,15581
Volvo,XC90AWD,2008,154000,Rochester, NY,7995
Nissan,SentraSR,2013,56718,Rochester, NY,10592
Ford,F-1504WD,2015,21121,Libertyville, IL,36979
Dodge,Grand,2016,47855,O'Fallon, IL,18980
Nissan,TitanCrew,2015,3359,Harrisonville, MO,31700
Audi,A63.0T,2014,58602,Delaware, OH,25750
Jeep,WranglerRubicon,2014,59534,Macon, GA,27980
Buick,EnclaveLeather,2014,46869,Lexington, TN,25800
Jeep,CompassLatitude,2015,44882,Lodi, NJ,14477
Ford,Super,2009,76116,Lakewood, WA,35995
Honda,PilotEX-L,2014,54932,Texarkana, TX,27998
Chevrolet,Tahoe2WD,2015,55521,Monroe, LA,43500
Ford,Mustang2dr,2003,15930,Lakewood, NJ,29750
Toyota,Tacoma4WD,2015,18885,Wilsonville, OR,31481
Chevrolet,Cruze2LT,2015,41319,South Easton, MA,11090
Nissan,ArmadaSE,2005,139642,Lenoir City, TN,9995
Toyota,Corolla4dr,2009,146670,SAN JOSE, CA,6505
Land,Rover,2005,101903,Fremont, CA,9888
Ford,Escape4WD,2011,102995,Olathe, KS,8497
Kia,SoulAutomatic,2014,77586,Bloomington, MN,10988
Scion,tC2dr,2010,111293,Tampa, FL,7832
Ram,1500Tradesman,2017,14413,Kernersville, NC,19585
Chevrolet,Silverado,2012,60174,Finksburg, MD,23777
Chevrolet,CamaroCoupe,2014,32469,San Antonio, TX,19995
Honda,CrosstourEX,2015,38209,Los Angeles, CA,20000
Cadillac,CTS,2010,107299,Portland, TX,9495
Ford,Fusion4dr,2010,53972,Columbia, TN,8695
Chevrolet,Silverado,2014,24458,Longview, WA,24000
Hyundai,Elantra4dr,2013,24167,Lighthouse Point, FL,11988
Cadillac,SRXLuxury,2014,82818,Houston, TX,22123
Jeep,RenegadeLimited,2016,14035,Anchorage, AK,20995
Jeep,CompassSport,2013,50795,Bronx, NY,11500
Toyota,Tacoma4WD,2016,25356,Jamaica, NY,37000
Nissan,FrontierCrew,2016,10304,Springfield, VA,22989
Dodge,DartSE,2013,41273,Wasilla, AK,8995
Kia,OptimaLX,2017,10,San Jose, CA,25130
Audi,A52.0T,2014,19738,Clearwater, FL,27238
Ram,"1500Express,",2015,65426,Hemet, CA,16998
Toyota,"VenzaLE,",2014,26553,Peoria, AZ,16900
Hyundai,TucsonAWD,2015,54447,Schaumburg, IL,18850
Audi,S52dr,2011,44027,Murrysville, PA,26995
Kia,SportageAWD,2017,28478,San Mateo, CA,18731
Chevrolet,EquinoxAWD,2015,51678,Pueblo, CO,16785
Toyota,AvalonXLE,2014,32967,Orlando, FL,16999
Ram,"1500SLT,",2013,75990,Houston, TX,20000
Hyundai,Elantra4dr,2017,862,Fort Myers, FL,21550
BMW,3,1999,228080,Schaumburg, IL,3991
Ford,EdgeTitanium,2016,17277,Inver Grove Heights, MN,28900
Toyota,Tundra,2008,177000,Vallejo, CA,11888
BMW,X5xDrive35i,2014,47954,Denver, CO,33990
Ford,F-150SuperCab,2013,138568,Culpeper, VA,16995
Mercedes-Benz,C-Class4dr,2009,104318,Spring, TX,11313
Nissan,NVStandard,2013,56264,Franklin, TN,19988
Chevrolet,Silverado,2015,21691,St. Louis, MO,39170
Nissan,PathfinderSV,2014,27576,San Antonio, TX,21995
Mercedes-Benz,C-ClassC300,2015,24588,SYLVANIA, OH,33991
Hyundai,Elantra,2017,38037,Overland Park, KS,13147
Chevrolet,CruzeSedan,2017,8333,Nanuet, NY,21500
Ford,Expedition,2016,25271,Dothan, AL,34995
Lincoln,ContinentalReserve,2017,2545,Plano, TX,49991
Ram,"1500SLT,",2014,59615,Palm Harbor, FL,22890
Nissan,Altima2.5,2015,29692,Cookeville, TN,19000
Nissan,JUKES,2015,31057,Libertyville, IL,15500
Toyota,TacomaDouble,2013,65659,Ozark, AL,27995
Ford,F-1504WD,2015,25482,Portsmouth, NH,29795
Ram,25004WD,2016,41876,South Jordan, UT,41000
Ford,FocusSedan,2014,38246,Sanford, FL,11977
Chevrolet,MalibuLT,2017,39833,New Castle, DE,16333
Hyundai,Santa,2015,14634,Melbourne, FL,19290
Ford,F-1504WD,2016,37281,Eatontown, NJ,30995
Scion,xDAutomatic,2013,6300,Virginia Beach, VA,11777
Kia,Soul5dr,2011,98604,Tampa, FL,6999
Ford,F-1502WD,2015,23204,Jacksonville, FL,30726
GMC,Sierra,2012,140457,Colorado Springs, CO,26694
Chrysler,3004dr,2007,72432,Joplin, MO,10775
Toyota,Tundra,2015,37616,Norman, OK,27950
Chrysler,Town,2005,157337,Lafayette, IN,2780
Chrysler,Town,2016,20489,Battle Creek, MI,26996
Land,Rover,2014,34145,West Chester, PA,69000
Nissan,SentraSR,2015,28466,Puyallup, WA,13999
Dodge,DurangoAWD,2015,18645,Woodbridge, VA,26800
Ford,F-1504WD,2015,38765,Auburn, MA,29900
Chevrolet,Suburban2WD,2015,44328,Miami, FL,44053
INFINITI,Q50AWD,2015,43021,Denver, CO,26500
Chevrolet,Silverado,2016,17184,South Portland, ME,33522
Chevrolet,ColoradoCrew,2012,93561,Omaha, NE,18300
Cadillac,Escalade,2017,25210,Eden Prairie, MN,65985
Porsche,MacanTurbo,2015,40845,New York, NY,59995
Ford,Super,2004,289946,Hollywood, FL,9750
Toyota,CamrySE,2016,28617,Statesville, NC,15997
Ford,Transit,2017,9260,Eatontown, NJ,21797
Toyota,AvalonLimited,2016,53468,Natchez, MS,20058
Jeep,CompassSport,2017,26460,Chicago, IL,17500
Jeep,RenegadeSport,2016,43251,Mount Airy, NC,16450
Ford,FocusSedan,2014,33926,Cheektowaga, NY,10996
Toyota,CamrySE,2016,51697,Lawrence, KS,14994
Subaru,Crosstrek2.0i,2017,611,North Huntingdon, PA,26999
Toyota,Tundra,2015,39368,Houston, TX,38990
Kia,Sportage2WD,2017,27877,Miami, FL,18487
Nissan,RogueS,2016,42738,Round Rock, TX,15900
Jeep,RenegadeLatitude,2016,24296,Shreveport, LA,20605
Dodge,Ram,2010,89868,Edgewater Park, NJ,21490
GMC,TerrainFWD,2017,42650,Toledo, OH,21395
Mercedes-Benz,C-ClassC300,2015,43081,Plano, TX,25490
Acura,MDXFWD,2015,36278,Doral, FL,32900
Chevrolet,TrailBlazer4dr,2006,141657,Lincoln, NE,6449
GMC,Sierra,2012,61957,New Castle, PA,28900
INFINITI,QX60AWD,2016,24697,Victorville, CA,34439
GMC,Sierra,2011,63926,Wheat Ridge, CO,40988
Mercedes-Benz,C-ClassC250,2014,46376,Buford, GA,20230
BMW,5,2014,36975,Miami Gardens, FL,22999
BMW,3,2014,40776,Stratham, NH,25488
Audi,A3Sedan,2016,3756,San Francisco, CA,30000
Dodge,JourneySXT,2017,25582,Bradenton, FL,17694
Ford,F-1504WD,2014,50834,Dover, DE,24888
Lexus,ES,2005,136167,Sacremento, CA,9987
Chevrolet,Avalanche4WD,2008,139958,Frederick, MD,15695
Volkswagen,Passat,2009,87503,Tempe, AZ,10988
Kia,SorentoLX,2017,9719,Murfreesboro, TN,23758
Ford,F-1504WD,2010,49756,Medina, MN,24900
Honda,Civic,2015,26389,Greenfield, WI,20690
Dodge,DurangoCrew,2013,46503,Souderton, PA,23295
Ford,F-1504WD,2015,12222,Mt. Pocono, PA,34922
Kia,SoulManual,2014,25317,La Follette, TN,11400
Subaru,Legacy2.5i,2013,39575,Hummels Wharf, PA,15483
Chevrolet,MalibuLS,2015,58540,Rincon, GA,12022
Honda,Civic,2016,12723,Sarasota, FL,20991
Mercedes-Benz,M-ClassRWD,2010,73803,Baytown, TX,19971
Honda,Civic,2015,29234,Montclair, CA,18499
Toyota,Tundra,2013,37894,Norfolk, VA,37473
Chevrolet,Suburban2WD,2015,69278,Cullman, AL,43000
Chevrolet,Silverado,2009,209725,Lumberton, TX,12995
MINI,Cooper,2007,72858,Austin, TX,7900
Nissan,Altima2.5,2014,106856,Covington, LA,11920
Cadillac,CTS,2017,17445,Houston, TX,36911
Chrysler,200LX,2015,29985,Hopkinsville, KY,12988
Nissan,Versa,2016,32851,Lakeland, FL,12395
Ram,"3500SLT,",2016,13698,Leavenworth, KS,46500
Kia,ForteLX,2015,51539,Lebanon, NH,8798
Buick,EnclavePremium,2014,58032,Matteson, IL,25981
Toyota,Camry,2013,80470,Concord, NC,14091
Ford,Super,2017,24996,Salisbury, NC,56865
Honda,Accord,2016,3815,Brooklyn, NY,23392
Chevrolet,ImpalaLT,2017,24446,Anaheim, CA,19290
Kia,CadenzaPremium,2015,28802,Avon, IN,20399
Ford,F-1502WD,2007,135499,Mesa, AZ,9491
Suzuki,XL-74dr,2005,193990,Sterling, IL,4999
Chevrolet,Corvette2dr,2010,27757,Swansboro, NC,36375
Lexus,LS,2010,88523,Cincinnnati, OH,22497
INFINITI,Q60,2015,10634,Bonita Springs, FL,38991
Chevrolet,EquinoxFWD,2010,110363,Franklin, TN,10695
Nissan,MuranoAWD,2014,45227,Brandywine, MD,21299
Dodge,Grand,2015,64446,Manteca, CA,17599
Acura,RLAutomatic,2005,91038,Addison, IL,8990
Ford,Taurus4dr,2011,103687,Cartersville, GA,9999
Ford,F-1504WD,2016,20926,Plymouth, WI,36500
AM,General,2000,64142,South River, NJ,46795
Lincoln,MKS3.5L,2015,19970,Lansdale, PA,26590
Chevrolet,Traverse1LT,2014,52502,Marina Del Rey Toyota, CA,20988
Subaru,Outback2.5i,2016,22707,Madison, TN,28288
BMW,4,2014,36743,Tampa, FL,25976
Ford,EscapeTitanium,2014,22676,Naperville, IL,18988
Honda,Pilot4WD,2012,84283,Henderson, NV,16984
Acura,TLType-S,2003,177216,Tacoma, WA,6995
Ford,FocusSedan,2015,38365,Belfast, ME,12990
Toyota,CamryXLE,2014,40660,Salisbury, MD,16521
Nissan,FrontierKing,2016,16964,Franklin, TN,22668
Kia,SorentoLX,2017,32056,Victorville, CA,21255
Honda,Element4WD,2003,105171,Westfield, IN,7200
Dodge,JourneySE,2014,67075,Monroe, LA,12927
Dodge,Challenger2dr,2012,76190,N Lauderdale, FL,12746
Honda,Civic,2015,53715,Reno, NV,15280
Jeep,CompassFWD,2010,111095,St. Louis, MO,10195
Chevrolet,CruzeSedan,2017,8211,Eden Prairie, MN,16985
Toyota,CorollaS,2014,123895,Vineland, NJ,12995
Volkswagen,PassatTDI,2015,17791,Montebello, CA,20499
Chrysler,200Sedan,2013,94718,Kissimmee, FL,10595
Jeep,CompassSport,2016,50162,Bedford, TX,12998
Honda,Civic,2014,19003,Brooklyn Center, MN,13197
GMC,TerrainAWD,2011,67353,Lafayette, IN,15009
Dodge,JourneySE,2015,38338,Morrow, GA,14802
Ram,"1500SLT,",2015,20248,Brattleboro, VT,29795
MINI,Cooper,2012,43353,Norwood, MA,10987
Hyundai,ElantraSE,2014,46852,Sheboygan, WI,11000
Chevrolet,EquinoxAWD,2014,41089,Palmer, MA,16877
Ford,ExplorerXLT,2014,15500,Buckner, KY,27674
Honda,Accord,2014,35839,Franklin Square, NY,17690
Mercedes-Benz,C-ClassC300,2015,15237,Marietta, GA,29299
